,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
13,CHAS=1.0,0.0006874365036057641,,,,,,,
12,CHAS=0.0,0.0012077512147392483,,,,,,,
1,ZN,0.020713907506589486,11.561904504492452,-0.019806404535502812,0.05115691919079775,0.022108239966416764,0.05192419766776907,0.0,0.0
7,RAD,0.023432539319098524,4.289541828805091,-0.45916236806818467,0.02804565881074215,0.5190543024708661,0.17491416402690305,0.29282722059329913,0.06784178631729887
2,INDUS,0.024961638133169962,3.443039676613363,0.08131304451014827,0.10072178340063496,0.1226086676628203,0.19023834730498992,0.0,0.0
9,PTRATIO,0.04649491070396588,1.1129704632793018,0.4729137929108531,-0.43351560512131804,0.48807934023534805,0.4457391357676297,0.275407198992891,0.2761996061382277
8,TAX,0.05329910761096345,82.98343425017102,1.3509708998196397,-0.3271298320911137,1.3694794816155265,0.33588794474431394,0.07047795196843865,0.0
0,CRIM,0.08128561741203853,4.4291355305508,-0.5053171631554195,0.21842320422482248,0.8597452818873749,1.0080999798174215,0.6991933694124253,0.8795220279928824
10,B,0.0837986136021348,45.72656881574895,-0.08401496695022935,0.020562015479607322,0.21488645962402758,0.22962458230680866,0.09540281219374869,0.11018203009995631
3,NOX,0.09064098000873581,0.05877935520360989,0.19005090123898416,-0.19713887805342317,0.628889260297249,0.3982953425696506,0.3511793579693503,0.0835668119460955
5,AGE,0.09238422280325978,13.980126746690955,0.10224023380004878,-0.13910918097684397,0.37346950295875375,0.3050569086825254,0.2585179277218188,0.17207970393023686
6,DIS,0.1273362553582422,1.0642935686250505,0.9037143921279254,-0.11335036376179294,1.0401151162072784,0.5738273367282617,0.34711599041277896,0.3567161605239928
11,LSTAT,0.14363030751537317,3.5507877966079993,2.449870911181717,-1.6785563025083232,2.4767516615132386,1.7103006828504366,1.8175191478207147,1.4364533857731203
4,RM,0.21012671230808336,0.3542865889835718,-1.1047389800242202,1.6702196993086609,1.206278742842384,1.793418433541696,0.5122757440762777,1.0473702298203698
